Section,Subsection,Metric,Value,Unit
Core,Integer ALUs (Count,Subthreshold Leakage,0.00667865,W
Core,Integer ALUs (Count,Subthreshold Leakage with power gating,0.00300539,W
Core,Integer ALUs (Count,Gate Leakage,6.39207e-05,W
Core,Integer ALUs (Count,Runtime Dynamic,0.841771,W
Core,Floating Point Units (FPUs) (Count,Area,0.0695899,mm^2
Core,Floating Point Units (FPUs) (Count,Peak Dynamic,0.0157832,W
Core,Floating Point Units (FPUs) (Count,Subthreshold Leakage,0.00302155,W
Core,Floating Point Units (FPUs) (Count,Subthreshold Leakage with power gating,0.0013597,W
Core,Floating Point Units (FPUs) (Count,Gate Leakage,2.89189e-05,W
Core,Floating Point Units (FPUs) (Count,Runtime Dynamic,0.0315664,W
Core,Complex ALUs (Mul/Div) (Count,Area,0.115363,mm^2
Core,Complex ALUs (Mul/Div) (Count,Peak Dynamic,0.105221,W
Core,Complex ALUs (Mul/Div) (Count,Subthreshold Leakage,0.020036,W
Core,Complex ALUs (Mul/Div) (Count,Subthreshold Leakage with power gating,0.00901618,W
Core,Complex ALUs (Mul/Div) (Count,Gate Leakage,0.000191762,W
Core,Complex ALUs (Mul/Div) (Count,Runtime Dynamic,0.210443,W
Core,Results Broadcast Bus,Area Overhead,0.00256269,mm^2
Core,Results Broadcast Bus,Peak Dynamic,0.146966,W
Core,Results Broadcast Bus,Subthreshold Leakage,0.00227703,W
Core,Results Broadcast Bus,Subthreshold Leakage with power gating,0.00102466,W
Core,Results Broadcast Bus,Gate Leakage,2.17932e-05,W
Core,Results Broadcast Bus,Runtime Dynamic,0.28494,W
Core,Results Broadcast Bus,Area,2.53827,mm^2
Core,Results Broadcast Bus,Peak Dynamic,0.349383,W
Core,Results Broadcast Bus,Subthreshold Leakage,0.153228,W
Core,Results Broadcast Bus,Subthreshold Leakage with power gating,0.0843563,W
Core,Results Broadcast Bus,Gate Leakage,0.00156597,W
Core,Results Broadcast Bus,Runtime Dynamic,0.691017,W
Core,Results Broadcast Bus,Area,2.77392,mm^2
Core,Results Broadcast Bus,Peak Dynamic,0.0617833,W
Core,Results Broadcast Bus,Subthreshold Leakage,0.213541,W
Core,Results Broadcast Bus,Subthreshold Leakage with power gating,0.118062,W
Core,Results Broadcast Bus,Gate Leakage,0.00195031,W
Core,Results Broadcast Bus,Runtime Dynamic,0.191199,W
Core,Results Broadcast Bus,Area,53.0328,mm^2
Core,Results Broadcast Bus,Peak Dynamic,23.1524,W
Core,Results Broadcast Bus,Subthreshold Leakage,9.57824,W
Core,Results Broadcast Bus,Subthreshold Leakage with power gating,4.2527,W
Core,Results Broadcast Bus,Gate Leakage,0.120285,W
Core,Results Broadcast Bus,Runtime Dynamic,2.83934,W
Core,Router,Area,0.602135,mm^2
Core,Router,Peak Dynamic,0.231369,W
Core,Router,Subthreshold Leakage,0.127816,W
Core,Router,Subthreshold Leakage with power gating,0.0566188,W
Core,Router,Gate Leakage,0.00166364,W
Core,Router,Runtime Dynamic,1.66586,W
Core,Virtual Channel Buffer,Area,0.165683,mm^2
Core,Virtual Channel Buffer,Peak Dynamic,0.0507616,W
Core,Virtual Channel Buffer,Subthreshold Leakage,0.00249596,W
Core,Virtual Channel Buffer,Subthreshold Leakage with power gating,0.000224636,W
Core,Virtual Channel Buffer,Gate Leakage,2.45875e-05,W
Core,Virtual Channel Buffer,Runtime Dynamic,0.365484,W
Core,Crossbar,Area,0.160976,mm^2
Core,Crossbar,Peak Dynamic,0.179891,W
Core,Crossbar,Subthreshold Leakage,0.12532,W
Core,Crossbar,Subthreshold Leakage with power gating,0.056394,W
Core,Crossbar,Gate Leakage,0.00163905,W
Core,Crossbar,Runtime Dynamic,1.29522,W
Core,Arbiter,Peak Dynamic,0.000716052,W
Core,Arbiter,Subthreshold Leakage,3.67148e-07,W
Core,Arbiter,Subthreshold Leakage with power gating,1.65217e-07,W
Core,Arbiter,Gate Leakage,3.86991e-09,W
Core,Arbiter,Runtime Dynamic,0.00515558,W
Core,Per Router Links,Area,0.226503,mm^2
Core,Per Router Links,Peak Dynamic,0.130387,W
Core,Per Router Links,Subthreshold Leakage,0.0218437,W
Core,Per Router Links,Subthreshold Leakage with power gating,0.00982965,W
Core,Per Router Links,Gate Leakage,0.00021581,W
Core,Per Router Links,Runtime Dynamic,1.17349,W
